Time [s],Packet ID,MOSI,MISO
1.611289750000000,1993,0xE1,0x0E
1.611325416666667,1993,0x00,0x0E
1.611372083333333,1994,0xA0,0x0E
1.611408500000000,1994,0xA2,0x00
1.611445166666667,1994,0x00,0x00
1.611483833333333,1994,0x02,0x00
1.611520500000000,1994,0xDF,0x00
1.611562166666667,1994,0x1C,0x00
1.611598833333333,1994,0xAA,0x00
1.611637500000000,1994,0xAA,0x00
1.611674166666667,1994,0xAA,0x00
1.611710833333333,1994,0x00,0x00
1.611749500000000,1994,0x1E,0x00
1.615030833333333,1995,0x07,0x2E
1.615068500000000,1995,0x00,0x2E
1.615106666666667,1996,0x27,0x2E
1.615142333333333,1996,0x2E,0x00
1.615188000000000,1997,0x25,0x0E
1.615223666666667,1997,0x40,0x00
1.615261083333333,1998,0xE1,0x0E
1.615301750000000,1998,0x00,0x0E
1.615348416666667,1999,0xA0,0x0E
1.615384833333333,1999,0xA2,0x00
1.615421500000000,1999,0x00,0x00
1.615460166666667,1999,0x02,0x00
1.615496833333333,1999,0xDF,0x00
1.615538500000000,1999,0x1C,0x00
1.615577166666667,1999,0xAA,0x00
1.615613833333333,1999,0xAA,0x00
1.615650500000000,1999,0xAA,0x00
1.615687166666667,1999,0x00,0x00
1.615725833333333,1999,0x1E,0x00
1.619018333333333,2000,0x07,0x2E
1.619054000000000,2000,0x00,0x2E
1.619092166666667,2001,0x27,0x2E
1.619127833333333,2001,0x2E,0x00
1.619174750000000,2002,0x25,0x0E
1.619210416666667,2002,0x09,0x00
1.619252833333333,2003,0xE1,0x0E
1.619290500000000,2003,0x00,0x0E
1.619335166666667,2004,0xA0,0x0E
1.619371583333333,2004,0xA2,0x00
1.619410250000000,2004,0x00,0x00
1.619446916666667,2004,0x02,0x00
1.619483583333333,2004,0xDF,0x00
1.619527250000000,2004,0x1C,0x00
1.619563916666667,2004,0xAA,0x00
1.619600583333333,2004,0xAA,0x00
1.619637250000000,2004,0xAA,0x00
1.619675916666667,2004,0x00,0x00
1.619712583333333,2004,0x1E,0x00
1.622993666666667,2005,0x07,0x2E
1.623029333333333,2005,0x00,0x2E
1.623067500000000,2006,0x27,0x2E
1.623105166666667,2006,0x2E,0x00
1.623148833333333,2007,0x25,0x0E
1.623184500000000,2007,0x09,0x00
1.623221916666667,2008,0xE1,0x0E
1.623264583333333,2008,0x00,0x0E
1.623309250000000,2009,0xA0,0x0E
1.623345666666667,2009,0xA2,0x00
1.623384333333333,2009,0x00,0x00
1.623421000000000,2009,0x02,0x00
1.623457666666667,2009,0xDF,0x00
1.623501333333333,2009,0x1C,0x00
1.623538083333333,2009,0xAA,0x00
1.623574750000000,2009,0xAA,0x00
1.623613416666667,2009,0xAA,0x00
1.623650083333333,2009,0x00,0x00
1.623686750000000,2009,0x1E,0x00
1.626977500000000,2010,0x07,0x2E
1.627013166666667,2010,0x00,0x2E
1.627051333333333,2011,0x27,0x2E
1.627089083333333,2011,0x2E,0x00
1.627134000000000,2012,0x25,0x0E
1.627169666666667,2012,0x4B,0x00
1.627214000000000,2013,0xE1,0x0E
1.627249750000000,2013,0x00,0x0E
1.627294416666667,2014,0xA0,0x0E
1.627332833333333,2014,0xA2,0x00
1.627369500000000,2014,0x00,0x00
1.627406166666667,2014,0x02,0x00
1.627444833333333,2014,0xDF,0x00
1.627486500000000,2014,0x1C,0x00
1.627523166666667,2014,0xAA,0x00
1.627559833333333,2014,0xAA,0x00
1.627598500000000,2014,0xAA,0x00
1.627635166666667,2014,0x00,0x00
1.627671833333333,2014,0x1E,0x00
1.630955333333333,2015,0x07,0x2E
1.630991000000000,2015,0x00,0x2E
1.631031166666667,2016,0x27,0x2E
1.631066833333333,2016,0x2E,0x00
1.631110500000000,2017,0x25,0x0E
1.631148166666667,2017,0x4B,0x00
1.631185583333333,2018,0xE1,0x0E
1.631226250000000,2018,0x00,0x0E
1.631270916666667,2019,0xA0,0x0E
1.631309333333333,2019,0xA2,0x00
1.631346000000000,2019,0x00,0x00
1.631382666666667,2019,0x02,0x00
1.631421333333333,2019,0xDF,0x00
1.631463000000000,2019,0x1C,0x00
1.631499666666667,2019,0xAA,0x00
1.631538333333333,2019,0xAA,0x00
1.631575083333333,2019,0xAA,0x00
1.631611750000000,2019,0x00,0x00
1.631648416666667,2019,0x1E,0x00
1.634939083333333,2020,0x07,0x2E
1.634974750000000,2020,0x00,0x2E
1.635014916666667,2021,0x27,0x2E
1.635050583333333,2021,0x2E,0x00
1.635095500000000,2022,0x25,0x0E
1.635133166666667,2022,0x30,0x00
1.635175583333333,2023,0xE1,0x0E
1.635211250000000,2023,0x00,0x0E
1.635257916666667,2024,0xA0,0x0E
1.635294333333333,2024,0xA2,0x00
1.635331000000000,2024,0x00,0x00
1.635369666666667,2024,0x02,0x00
1.635406333333333,2024,0xDF,0x00
1.635448000000000,2024,0x1C,0x00
1.635484666666667,2024,0xAA,0x00
1.635523333333333,2024,0xAA,0x00
1.635560000000000,2024,0xAA,0x00
1.635596750000000,2024,0x00,0x00
1.635635416666667,2024,0x1E,0x00
1.638916750000000,2025,0x07,0x2E
1.638954416666667,2025,0x00,0x2E
1.638992583333333,2026,0x27,0x2E
1.639028333333333,2026,0x2E,0x00
1.639073916666667,2027,0x25,0x0E
1.639109583333333,2027,0x30,0x00
1.639147000000000,2028,0xE1,0x0E
1.639187666666667,2028,0x00,0x0E
1.639234333333333,2029,0xA0,0x0E
1.639270750000000,2029,0xA2,0x00
1.639307416666667,2029,0x00,0x00
1.639346083333333,2029,0x02,0x00
1.639382833333333,2029,0xDF,0x00
1.639424500000000,2029,0x1C,0x00
1.639463166666667,2029,0xAA,0x00
